REPUBLICAN,DEM,year,state,state_po,county_name,county_fips,candidatevotes
1710,405,2008,UTAH,UT,GARFIELD,49017,2159
11777,4187,2020,GEORGIA,GA,COLQUITT,13071,16083
39397,48991,2020,CALIFORNIA,CA,MERCED,6047,90554
10234,5749,2008,OKLAHOMA,OK,MAYES,40097,15983
14446,36048,2020,GEORGIA,GA,CLARKE,13059,51333
8219,3325,2012,FLORIDA,FL,BRADFORD,12007,11635
4282,1478,2012,TENNESSEE,TN,UNION,47173,5828
15807,55567,2008,NEW MEXICO,NM,SANTA FE,35049,72223
2538,1681,2008,SOUTH DAKOTA,SD,TURNER,46125,4266
61043,90324,2000,NEW JERSEY,NJ,PASSAIC,34031,156573
4913,2229,2000,TEXAS,TX,COLORADO,48089,7249
2375,986,2008,NEBRASKA,NE,MERRICK,31121,3431
22008,11874,2008,INDIANA,IN,HANCOCK,18059,34253
5336,923,2008,OKLAHOMA,OK,TEXAS,40139,6259
14160,8578,2004,OHIO,OH,PICKAWAY,39129,22850
3866,2212,2008,KENTUCKY,KY,CALDWELL,21033,6199
1066,264,2000,TEXAS,TX,SHACKELFORD,48417,1347
740,237,2012,MONTANA,MT,DANIELS,30019,1007
1747,1037,2012,TENNESSEE,TN,CLAY,47027,2820
1529,719,2004,OKLAHOMA,OK,GREER,40055,2248
1440,582,2012,MONTANA,MT,TOOLE,30101,2102
20742,16639,2004,NEW YORK,NY,CHEMUNG,36015,39075
4590,9046,2016,MISSISSIPPI,MS,BOLIVAR,28011,13824
6405,12739,2012,WASHINGTON,WA,JEFFERSON,53031,19829
10855,2928,2020,INDIANA,IN,WELLS,18179,14050
13098,4421,2012,GEORGIA,GA,OCONEE,13219,17817
8889,6731,2004,MICHIGAN,MI,HOUGHTON,26061,15851
6629,1928,2016,ALASKA,AK,DISTRICT 12,2012,9543
119884,36703,2008,TEXAS,TX,MONTGOMERY,48339,157847
708,243,2000,MONTANA,MT,WHEATLAND,30107,999
2735,1726,2012,MISSISSIPPI,MS,FRANKLIN,28037,4493
262945,461080,2016,TEXAS,TX,DALLAS,48113,758973
3444,4206,2000,OKLAHOMA,OK,MCINTOSH,40091,7781
30753,21331,2008,NORTH CAROLINA,NC,BRUNSWICK,37019,52608
12628,3583,2020,NORTH CAROLINA,NC,CHEROKEE,37039,16423
7256,3825,2016,MINNESOTA,MN,LYON,27083,12215
38867,45357,2016,CONNECTICUT,CT,MIDDLESEX,9007,88624
2985,1512,2000,KANSAS,KS,BROWN,20013,4691
14655,12040,2012,NEW YORK,NY,CATTARAUGUS,36009,29767
